case_id,ED,ET,NCR,TC,WT,model
UCSF-PDGM-0084,0.9556456028912496,0.935007571933367,0.8972344437460716,0.9830722132180804,0.9756730074999632,Fold_1
UCSF-PDGM-0085,0.965261022296249,0.8985584623598505,0.0,0.9213071895424837,0.9672955206870586,Fold_1
UCSF-PDGM-0088,0.9348945357913968,0.5809217577706324,0.0,0.6048472075869337,0.946298044504383,Fold_1
UCSF-PDGM-0089,0.9495590936614308,0.8900616462453919,0.9460856720827179,0.9621445549784312,0.9803686744889198,Fold_1
UCSF-PDGM-0091,0.6963861777895014,0.8994452691616532,0.8609523809523809,0.9640493038119151,0.8985015745579126,Fold_1
UCSF-PDGM-0096,0.9279808447753376,0.836760061130922,0.9364039367663869,0.914718278354642,0.9719219292667417,Fold_1
UCSF-PDGM-0107,0.8955565236331954,0.8862712461188822,0.9209258384506377,0.9236360158752929,0.9203164802141172,Fold_1
UCSF-PDGM-0116,0.967807131514364,0.9577693243478093,0.9858205485820548,0.9859299300848072,0.9844894535515174,Fold_1
UCSF-PDGM-0121,0.9504907385569928,0.9693967804705466,0.9705304518664047,0.9845604522762588,0.9719332771061756,Fold_1
UCSF-PDGM-0156,0.9560362073198122,0.8874834075115171,0.2845973416731822,0.8713791693005615,0.9772929204107242,Fold_1
UCSF-PDGM-0159,0.9105712388183301,0.9382981413579466,0.9158291900278571,0.9828114939267278,0.9391608579168368,Fold_1
UCSF-PDGM-0176,0.8179275078959242,0.8969020971007295,0.893562121016643,0.9385794282346006,0.8996614220274846,Fold_1
UCSF-PDGM-0197,0.8964076667049237,0.9140579854538209,0.9741536469425656,0.9707378901155421,0.9633892494183911,Fold_1
UCSF-PDGM-0200,0.7143508665247795,0.8988371209242229,0.9222035203834194,0.9830121839944179,0.9572992700729926,Fold_1
UCSF-PDGM-0207,0.9216856635417369,0.9547619047619048,0.977383614555804,0.983439298908841,0.9502058767101049,Fold_1
UCSF-PDGM-0227,0.6961943093724768,0.9150610531549708,0.8929571726842186,0.9664870876924682,0.8467700643589062,Fold_1
UCSF-PDGM-0231,0.96473026516306,1.0,1.0,1.0,0.96473026516306,Fold_1
UCSF-PDGM-0235,0.974081383874151,1.0,1.0,1.0,0.974081383874151,Fold_1
UCSF-PDGM-0240,0.9683549400112731,1.0,1.0,1.0,0.9683549400112731,Fold_1
UCSF-PDGM-0244,0.9763322362338671,0.0,1.0,0.0,0.9779197282428091,Fold_1
UCSF-PDGM-0261,0.965439757711941,1.0,1.0,1.0,0.965439757711941,Fold_1
UCSF-PDGM-0288,0.36872011251758086,0.7858100694867731,0.8757590177976587,0.958713747997602,0.9026504250050198,Fold_1
UCSF-PDGM-0333,0.7550664003115852,0.9368357730098256,0.9142857142857143,0.9438073394495413,0.7719658119658119,Fold_1
UCSF-PDGM-0335,0.9478698303877487,0.9749687108886108,0.9909170088341421,0.9920758719660573,0.9726682255131203,Fold_1
UCSF-PDGM-0356,0.9545796829944717,0.9541867663051056,0.9683113699049954,0.9783050327724329,0.9696500076559376,Fold_1
UCSF-PDGM-0358,0.9593223643839859,0.9600229069844276,0.9909227374847621,0.9933775750034564,0.9795349041315734,Fold_1
UCSF-PDGM-0360,0.9086714967997661,0.959471512989185,0.9914072604220187,0.9895037857862412,0.9696398591930679,Fold_1
UCSF-PDGM-0366,0.9338735416698944,0.9357700966759369,0.992556992837861,0.9843145157013925,0.9657663949287527,Fold_1
UCSF-PDGM-0377,0.9372743983161423,0.9498758812431735,0.9858561028647065,0.9827392483533515,0.9678683423214894,Fold_1
UCSF-PDGM-0379,0.9228579502046028,0.9783893851812927,0.9795352629433347,0.9904712850888489,0.9481716137244691,Fold_1
UCSF-PDGM-0414,0.9368298003552921,0.9678513942663245,0.9882081612915226,0.984064674636617,0.9663581267217631,Fold_1
UCSF-PDGM-0478,0.9602612174599473,1.0,1.0,1.0,0.9602612174599473,Fold_1
UCSF-PDGM-0485,0.9570850451614888,0.0,0.0,0.0,0.9691900605249552,Fold_1
UCSF-PDGM-0497,0.9633479366211056,0.9401817606366144,0.918141592920354,0.945745189175101,0.9718265139809072,Fold_1
UCSF-PDGM-0503,0.9601041975281037,0.977339312406577,0.9241856442778899,0.9865922695630976,0.968731754784301,Fold_1
